Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
ayesha-bridal-lehenga,Ayesha Bridal Lehenga,"<p>A hand-embroidered bridal lehenga in deep maroon raw silk, finished with antique gold zardozi and a scalloped dupatta. Cut for grace, made for the moment.</p>
<ul>
<li><strong>Fabric:</strong> Raw silk · Zardozi & aari work</li>
<li><strong>Category:</strong> Bridal Lehengas</li>
</ul>
<p>Cut and embroidered by hand in our Bandra West atelier. Free shipping across India on orders over ₹1,999 · 7-day returns · COD available.</p>",Label Surbhee,,Bridal Lehengas,"bestseller, lehengas, bridal-lehengas, coll-wedding, coll-new, coll-limited",TRUE,Size,S,Colour,Maroon,,,LH-01-S-MAROON,500,shopify,1,deny,manual,42999,59999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/lehenga1.jpg,1,Ayesha Bridal Lehenga — Label Surbhee,,Ayesha Bridal Lehenga | Label Surbhee,"A hand-embroidered bridal lehenga in deep maroon raw silk, finished with antique gold zardozi and a scalloped dupatta. Cut for grace, made for the moment. Free shipping over ₹1,999.",active
,,,,,,,,Size,S,Colour,Antique Gold,,,LH-01-S-ANTIQUE-GOLD,500,shopify,1,deny,manual,42999,59999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/about.jpg,2,Ayesha Bridal Lehenga — Label Surbhee,,,,
,,,,,,,,Size,M,Colour,Maroon,,,LH-01-M-MAROON,500,shopify,1,deny,manual,42999,59999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,M,Colour,Antique Gold,,,LH-01-M-ANTIQUE-GOLD,500,shopify,1,deny,manual,42999,59999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,L,Colour,Maroon,,,LH-01-L-MAROON,500,shopify,1,deny,manual,42999,59999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,L,Colour,Antique Gold,,,LH-01-L-ANTIQUE-GOLD,500,shopify,1,deny,manual,42999,59999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,XL,Colour,Maroon,,,LH-01-XL-MAROON,500,shopify,1,deny,manual,42999,59999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,XL,Colour,Antique Gold,,,LH-01-XL-ANTIQUE-GOLD,500,shopify,1,deny,manual,42999,59999,TRUE,TRUE,,,,,,,,
maira-festive-lehenga,Maira Festive Lehenga,"<p>Champagne ivory georgette with a gota patti border — festive enough for Diwali, light enough for the dance floor.</p>
<ul>
<li><strong>Fabric:</strong> Georgette · Gota patti border</li>
<li><strong>Category:</strong> Festive Lehengas</li>
</ul>
<p>Cut and embroidered by hand in our Bandra West atelier. Free shipping across India on orders over ₹1,999 · 7-day returns · COD available.</p>",Label Surbhee,,Festive Lehengas,"new, lehengas, festive-lehengas, coll-festive, coll-party, coll-new",TRUE,Size,S,Colour,Ivory,,,LH-02-S-IVORY,500,shopify,2,deny,manual,18999,24999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/lehenga2.jpg,1,Maira Festive Lehenga — Label Surbhee,,Maira Festive Lehenga | Label Surbhee,"Champagne ivory georgette with a gota patti border — festive enough for Diwali, light enough for the dance floor. Free shipping over ₹1,999.",active
,,,,,,,,Size,S,Colour,Gold,,,LH-02-S-GOLD,500,shopify,2,deny,manual,18999,24999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/about.jpg,2,Maira Festive Lehenga — Label Surbhee,,,,
,,,,,,,,Size,M,Colour,Ivory,,,LH-02-M-IVORY,500,shopify,2,deny,manual,18999,24999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,M,Colour,Gold,,,LH-02-M-GOLD,500,shopify,2,deny,manual,18999,24999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,L,Colour,Ivory,,,LH-02-L-IVORY,500,shopify,2,deny,manual,18999,24999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,L,Colour,Gold,,,LH-02-L-GOLD,500,shopify,2,deny,manual,18999,24999,TRUE,TRUE,,,,,,,,
zara-indo-western-lehenga,Zara Indo-Western Lehenga,"<p>A skirt-and-gown hybrid that dresses up without dressing down. Wear it with the choli or as a gown.</p>
<ul>
<li><strong>Fabric:</strong> Satin · Thread embroidery</li>
<li><strong>Category:</strong> Indo-Western Lehengas</li>
</ul>
<p>Cut and embroidered by hand in our Bandra West atelier. Free shipping across India on orders over ₹1,999 · 7-day returns · COD available.</p>",Label Surbhee,,Indo-Western Lehengas,"new, lehengas, indo-western-lehengas, coll-party, coll-rozana",TRUE,Size,S,,,,,LH-03-S,500,shopify,2,deny,manual,12999,16999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/dress1.jpg,1,Zara Indo-Western Lehenga — Label Surbhee,,Zara Indo-Western Lehenga | Label Surbhee,"A skirt-and-gown hybrid that dresses up without dressing down. Wear it with the choli or as a gown. Free shipping over ₹1,999.",active
,,,,,,,,Size,M,,,,,LH-03-M,500,shopify,2,deny,manual,12999,16999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/about.jpg,2,Zara Indo-Western Lehenga — Label Surbhee,,,,
,,,,,,,,Size,L,,,,,LH-03-L,500,shopify,2,deny,manual,12999,16999,TRUE,TRUE,,,,,,,,
,,,,,,,,Size,XL,,,,,LH-03-XL,500,shopify,2,deny,manual,12999,16999,TRUE,TRUE,,,,,,,,
rania-designer-lehenga,Rania Designer Lehenga,"<p>The silhouette our designers get asked about every single week. Structured flare, mirror-dot yoke, zero compromise.</p>
<ul>
<li><strong>Fabric:</strong> Chikankari-raw silk · Mirror detail</li>
<li><strong>Category:</strong> Designer Lehengas</li>
</ul>
<p>Cut and embroidered by hand in our Bandra West atelier. Free shipping across India on orders over ₹1,999 · 7-day returns · COD available.</p>",Label Surbhee,,Designer Lehengas,"bestseller, lehengas, designer-lehengas, coll-party, coll-new",TRUE,Size,M,,,,,LH-04-M,500,shopify,1,deny,manual,27999,,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/lehenga1.jpg,1,Rania Designer Lehenga — Label Surbhee,,Rania Designer Lehenga | Label Surbhee,"The silhouette our designers get asked about every single week. Structured flare, mirror-dot yoke, zero compromise. Free shipping over ₹1,999.",active
,,,,,,,,Size,L,,,,,LH-04-L,500,shopify,1,deny,manual,27999,,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/about.jpg,2,Rania Designer Lehenga — Label Surbhee,,,,
,,,,,,,,Size,XL,,,,,LH-04-XL,500,shopify,1,deny,manual,27999,,TRUE,TRUE,,,,,,,,
simran-lehenga-set,Simran Lehenga Set,"<p>Lehenga, choli and dupatta as a set — the festive look, without the three-way hunt. Machine-friendly, hand-finished.</p>
<ul>
<li><strong>Fabric:</strong> Chiffon · Zari trim</li>
<li><strong>Category:</strong> Lehenga Sets</li>
</ul>
<p>Cut and embroidered by hand in our Bandra West atelier. Free shipping across India on orders over ₹1,999 · 7-day returns · COD available.</p>",Label Surbhee,,Lehenga Sets,"lehengas, lehenga-sets, coll-festive, coll-rozana",TRUE,Size,S,Colour,Ivory,,,LH-05-S-IVORY,500,shopify,3,deny,manual,9999,14999,TRUE,TRUE,,https://raw.githubusercontent.com/neversoberr/LABEL-SURBHEE/main/img/lehenga2.jpg,1,Simran Lehenga Set — Label Surbhee,,Simran Lehenga Set | Label Surbhee,"Lehenga, choli and dupatta as a set — the festive look, without the three-way hunt. Machine-friendly, hand-finished. Free shipping over ₹1,999.",active
