Handle,Title,custom.rating (decimal),custom.review_count (integer),custom.fabric (single line text)
ayesha-bridal-lehenga,Ayesha Bridal Lehenga,4.9,182,Raw silk · Zardozi & aari work
maira-festive-lehenga,Maira Festive Lehenga,4.8,96,Georgette · Gota patti border
zara-indo-western-lehenga,Zara Indo-Western Lehenga,4.6,58,Satin · Thread embroidery
rania-designer-lehenga,Rania Designer Lehenga,4.7,141,Chikankari-raw silk · Mirror detail
simran-lehenga-set,Simran Lehenga Set,4.5,73,Chiffon · Zari trim
ishita-bridal,Ishita Bridal,5,203,Dabka raw silk · Full zardozi
anaya-zari-saree,Anaya Zari Saree,4.8,154,Raw silk · Woven zari border
meher-silk-gown,Meher Silk Gown,4.7,88,Silk blend · Gold thread panel
tara-festive-co-ords,Tara Festive Co-ords,4.6,64,Cotton-silk · Antique gold buttons
ira-embellished-kurta,Ira Embellished Kurta,4.5,210,Cotton · Gold embroidery
nadia-party-gown,Nadia Party Gown,4.6,45,Satin · Bias cut
aarohi-velvet-jacket,Aarohi Velvet Jacket,4.4,38,Silk velvet · Structured shoulder
riva-silk-blouse,Riva Silk Blouse,4.7,176,Raw silk · Puff sleeve
noor-jhumkas,Noor Jhumkas,4.8,129,Alpaca metal · Pearl drop
sana-kundan-set,Sana Kundan Set,4.9,264,Kundan · Gold plating
mira-bridal-necklace,Mira Bridal Necklace,4.9,118,Kundan · Meenakari detail
kiara-chooda-bangles,Kiara Chooda Bangles,4.6,92,Gold-plated · Engraved
zoya-statement-ring,Zoya Statement Ring,4.5,41,Alpaca metal · Marble stone
